dob,fighter_id,height,n_draw,n_loss,n_win,name,reach,sig_str_abs_pM,sig_str_def_pct,sig_str_land_pM,sig_str_land_pct,stance,sub_avg,td_avg,td_def_pct,td_land_pct,weight
"Jul 01, 1982",3ecd936bd8814108,"5' 6""",0,4,10,Cat Zingano,"68""",1.63,0.47,2.57,0.61,Southpaw,0.8,2.77,0.42,0.65,145 lbs.
"Apr 20, 1986",0aa74d04c196800c,"6' 3""",0,1,0,Errol Zimmerman,--,0.0,0.0,2.95,0.42,Orthodox,0.0,0.0,0.0,0.0,185 lbs.
"Mar 01, 1977",4b4fc3ddc307bc73,"6' 2""",2,8,20,James Zikic,--,1.6,0.44,1.47,0.35,Orthodox,0.5,0.5,0.74,0.25,205 lbs.
--,6d3398b910461f2f,--,0,4,8,Mike Zichelle,--,0.87,0.4,0.87,0.35,,2.0,0.0,0.0,0.0,205 lbs.
"Mar 21, 1997",1e4f273069fb9e85,"6' 1""",0,3,10,Fares Ziam,"75""",1.4,0.57,0.67,0.32,Orthodox,0.0,0.0,0.75,0.0,155 lbs.
"Feb 07, 1991",5ea918ea81b7dee2,"5' 5""",0,5,2,Yao Zhikui,"64""",2.82,0.48,1.44,0.21,Orthodox,0.0,0.66,0.58,0.16,125 lbs.
"Aug 13, 1989",1ebe20ebbfa15e29,"5' 4""",0,1,20,Weili Zhang,"63""",2.24,0.63,6.22,0.49,Switch,0.9,1.75,1.0,0.3,115 lbs.
"Mar 10, 1990",7b310409440c9102,"5' 11""",1,9,9,Zhang Lipeng,"71""",1.88,0.53,1.28,0.48,Southpaw,0.8,1.75,0.69,0.3,155 lbs.
"Jul 25, 1978",c23e3d4875340d8d,"5' 8""",0,4,18,Tiequan Zhang,"70""",2.14,0.51,1.23,0.36,Orthodox,3.4,1.95,0.75,0.58,155 lbs.
--,cbf69fa846c7e3ee,"6' 0""",0,1,1,Carlos Zevallos,--,2.28,0.68,4.36,0.65,Orthodox,0.0,0.0,1.0,0.0,205 lbs.
"Sep 10, 1973",3144121470023e9a,"6' 1""",0,13,18,Roman Zentsov,--,0.53,0.7,1.18,0.36,Orthodox,3.2,1.6,0.33,1.0,230 lbs.
"Sep 09, 1976",3794e5e0bb0defb6,"6' 2""",0,3,4,Craig Zellner,--,4.65,0.61,0.61,0.09,Orthodox,0.0,0.0,0.0,0.0,205 lbs.
"Jan 15, 1986",be4076c9e8d791e3,"5' 11""",0,6,13,Joao Zeferino,"73""",2.6,0.48,0.83,0.36,Orthodox,1.0,0.5,0.5,0.05,170 lbs.
"Aug 01, 1990",3bb2dc8e87b10a46,"6' 0""",0,5,17,David Zawada,"75""",4.32,0.56,3.38,0.41,Orthodox,3.3,0.94,0.6,0.22,170 lbs.
"Jul 30, 1980",abcf7e55a0a9ed89,"5' 9""",0,7,15,Marius Zaromskis,--,5.93,0.5,5.02,0.34,Orthodox,0.0,0.73,0.73,0.42,170 lbs.
"May 09, 1986",fe5ca7ef93c3f6a7,"5' 11""",0,3,4,Roger Zapata,"74""",2.13,0.36,2.6,0.51,Southpaw,1.4,0.0,0.81,0.0,170 lbs.
"Dec 14, 1989",cc3878d1ab41a5fa,"5' 7""",0,7,12,Zach Zane,"69""",6.67,0.2,0.87,0.56,Southpaw,0.0,0.0,0.26,0.0,145 lbs.
"Dec 11, 1986",8adcbd525fab8d9b,"5' 11""",0,6,21,Elizeu Zaleski dos Santos,"73""",3.03,0.61,4.18,0.39,Orthodox,0.6,0.45,0.48,0.14,170 lbs.
"Nov 19, 1987",24656ef4d605c96f,"5' 8""",0,2,7,Aiemann Zahabi,"68""",3.93,0.65,2.81,0.39,Orthodox,0.0,0.36,0.72,0.16,135 lbs.
"May 10, 1987",8c822811eedc11ad,"5' 11""",0,3,7,Anton Zafir,"72""",2.31,0.52,2.99,0.64,Orthodox,0.0,6.11,0.0,0.6,170 lbs.
"Dec 19, 1981",2284092f8b63273b,"6' 2""",0,4,14,Luke Zachrich,"74""",4.46,0.62,4.56,0.32,Orthodox,0.0,0.74,0.8,0.33,185 lbs.
"Sep 25, 1990",885adaff8fe15cf7,"5' 9""",0,1,10,Austin Tweedy,"68""",6.43,0.0,4.29,0.66,Orthodox,0.0,0.0,0.0,0.0,155 lbs.
"May 18, 1995",4d8fa64202cee4c1,"6' 3""",0,5,8,Jalin Turner,"77""",4.69,0.48,5.66,0.45,Southpaw,0.6,0.61,0.71,1.0,155 lbs.
--,56f4b81ec4db61af,"6' 2""",0,3,0,Courtney Turner,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,170 lbs.
"Jul 22, 1996",4dcfb28c011c11b2,"6' 0""",0,3,16,Wellington Turman,"72""",3.3,0.43,2.43,0.42,Orthodox,1.0,3.0,1.0,0.37,185 lbs.
"Jun 05, 1993",cd3d7e37ff2d679c,"5' 9""",0,1,8,Ricky Turcios,"71""",4.07,0.64,7.33,0.37,Orthodox,0.0,0.0,0.0,0.0,135 lbs.
"Dec 26, 1991",ff6a1f63c254127e,"5' 11""",0,4,17,Albert Tumenov,"73""",3.34,0.58,3.76,0.42,Orthodox,0.0,0.2,0.75,0.2,170 lbs.
"Jun 14, 1969",96eff1a628adcc7f,"6' 0""",0,1,0,Teila Tuli,--,0.0,0.0,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,430 lbs.
"Jan 15, 1991",aceffa19749c4dc0,"5' 8""",1,4,18,Zubaira Tukhugov,"68""",2.04,0.68,2.28,0.35,Orthodox,0.0,3.03,1.0,0.56,145 lbs.
"Mar 16, 1993",c62fbc117d57b943,"6' 2""",0,3,10,Tai Tuivasa,"75""",3.54,0.51,4.09,0.48,Southpaw,0.0,0.0,0.42,0.0,264 lbs.
--,63f8775391301891,"6' 0""",0,6,10,Blair Tugman,--,0.93,0.5,2.25,0.53,,0.0,7.5,0.0,0.6,135 lbs.
--,b9aa7d230865b5fe,"6' 2""",0,3,0,Tom Tuggle,--,2.14,0.0,0.0,0.0,Orthodox,0.0,32.14,0.0,1.0,250 lbs.
"Apr 17, 1986",1ed32eaaba9ffe10,"5' 7""",1,3,17,Jumabieke Tuerxun,"67""",3.08,0.59,1.6,0.28,Orthodox,0.9,0.47,0.66,0.11,135 lbs.
"Jun 17, 1986",da816417a579a0bd,"5' 6""",0,1,11,Gavin Tucker,"66""",4.04,0.58,2.66,0.37,Southpaw,1.0,2.08,0.33,0.33,145 lbs.
"Aug 28, 1984",53ec9cb470e1a4ea,"5' 11""",0,5,10,Jon Tuck,"73""",3.74,0.6,3.0,0.4,Orthodox,1.0,0.42,0.5,0.33,155 lbs.
"Sep 08, 1975",df05aa15b2d66f57,"6' 2""",0,4,21,Chris Tuchscherer,"76""",3.17,0.47,1.35,0.31,Orthodox,0.6,1.19,0.0,0.18,258 lbs.
"Oct 11, 1996",eae48ff31db420c2,"5' 7""",0,2,14,Arman Tsarukyan,"72""",1.23,0.45,2.0,0.4,Orthodox,0.0,1.5,0.66,0.13,155 lbs.
"Sep 18, 1983",e14b5aa06eea9653,"5' 8""",0,8,15,Abel Trujillo,"70""",2.31,0.59,2.65,0.41,Orthodox,0.4,2.18,0.4,0.45,155 lbs.
"Jan 01, 1982",e6b233a007cb06c4,"5' 9""",0,7,8,Reynaldo Trujillo,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,155 lbs.
--,cc18abc046b382c9,"5' 5""",0,1,0,Aaron Trujillo,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,125 lbs.
"Jan 25, 1983",8abf70f79e9e27c2,"6' 2""",1,7,16,Tor Troeng,"77""",3.26,0.32,1.16,0.46,Orthodox,0.3,0.62,0.66,0.07,185 lbs.
"Dec 06, 1990",6d48a2df51749d91,"6' 5""",0,3,11,Antonio Trocoli,"82""",4.56,0.25,1.27,0.71,Orthodox,3.8,3.8,1.0,1.0,205 lbs.
"Dec 31, 1991",5bf31a46becc1204,"5' 11""",0,1,9,Michael Trizano,"71""",2.11,0.63,3.02,0.53,Orthodox,0.8,0.4,0.8,0.5,155 lbs.
"Aug 23, 1979",cb1c09c8126dbee0,"5' 11""",0,6,7,Damien Trites,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,165 lbs.
"Aug 24, 1978",a8283a4f415e1eb9,"5' 9""",0,7,24,Francisco Trinaldo,"70""",2.47,0.6,3.09,0.44,Southpaw,0.5,1.08,0.61,0.45,155 lbs.
"Jun 10, 1993",0cf9f5518d6063bb,"5' 11""",0,2,7,Angelo Trevino,--,3.9,0.47,5.19,0.54,Switch,0.0,0.0,1.0,0.0,170 lbs.
"May 07, 1972",d2d37e8eeb3abc8d,"5' 9""",0,9,21,Frank Trigg,"71""",1.9,0.56,2.79,0.46,Southpaw,0.8,2.35,0.75,0.47,170 lbs.
"Dec 17, 1981",97a6bbe6e6566a94,"5' 9""",0,2,12,Francisco Trevino,"70""",2.42,0.64,2.65,0.42,Orthodox,0.0,0.97,0.41,0.22,155 lbs.
--,73abb7a5c57fb443,--,0,2,5,Alexander Trevino,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,170 lbs.
"Apr 11, 1983",008cf84faae9c7a5,--,0,3,14,Bryan Travers,--,3.93,0.55,2.33,0.48,,0.0,2.0,0.63,0.28,155 lbs.
"Sep 16, 1968",20ec0061400178ca,"6' 3""",1,4,6,Roberto Traven,--,2.77,0.57,0.92,0.5,Orthodox,0.0,0.0,0.0,0.0,227 lbs.
--,04076783ca83d6ae,"5' 11""",0,5,2,Minoru Toyonaga,--,0.0,0.0,0.0,0.0,Southpaw,0.0,0.0,0.0,0.0,195 lbs.
"May 11, 1986",3f7dab21b6c971bc,"6' 3""",0,9,21,Dequan Townsend,"79""",2.99,0.25,1.22,0.43,Orthodox,0.0,0.0,0.33,0.0,205 lbs.
"Sep 28, 1989",cbf1c7ba5408a66f,"5' 10""",0,4,10,Salim Touahri,"72""",2.87,0.58,2.6,0.46,Orthodox,0.0,0.0,0.83,0.0,170 lbs.
"Jan 06, 1997",971aebf56267de20,"5' 6""",0,1,7,Desmond Torres,"69""",11.78,0.48,4.8,0.64,Orthodox,0.0,0.0,1.0,0.0,135 lbs.
"Aug 02, 1992",d2036f31c035e0d1,"5' 4""",0,1,8,Jose Torres,"65""",9.84,0.5,4.37,0.36,Orthodox,0.0,1.28,0.75,0.33,125 lbs.
"Oct 29, 1982",e175a261a280f7cb,"5' 10""",0,3,4,Abram Torres,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,170 lbs.
"May 29, 1988",e4e0f310b3cf23a8,"5' 10""",0,2,2,Alex Torres,"70""",2.73,0.69,2.47,0.37,Orthodox,0.0,2.0,0.5,0.22,145 lbs.
"Aug 16, 1989",31ef8b67e13495b3,"5' 1""",0,5,10,Tecia Torres,"60""",3.46,0.62,4.04,0.47,Orthodox,0.1,0.67,0.52,0.14,115 lbs.
--,1ff10dee2f7ae60c,--,0,0,0,Haven Torres,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,125 lbs.
"Aug 13, 1975",cce79e827569f26e,"5' 7""",0,4,22,Ronys Torres,--,1.93,0.57,0.87,0.26,Orthodox,0.5,4.0,0.16,0.47,155 lbs.
"Jan 18, 1981",33b2f68ef95252e0,"5' 9""",0,5,39,Miguel Torres,"76""",1.86,0.74,3.98,0.43,Orthodox,1.6,0.0,0.17,0.0,135 lbs.
"Jul 31, 1978",918d9d89d4d52acc,"5' 8""",0,2,5,Anthony Torres,--,7.52,0.45,3.54,0.48,Orthodox,2.2,0.0,1.0,0.0,170 lbs.
--,5ee87e0432205755,--,0,3,3,Carl Toomey,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,--
--,9de7c97e1c0d7927,"5' 8""",0,2,1,Masanori Tonooka,--,1.09,0.36,0.16,0.05,Orthodox,0.0,0.0,0.0,0.0,185 lbs.
"Aug 24, 1968",d10b35152277cf98,"5' 9""",0,1,0,James Toney,--,2.41,0.27,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,220 lbs.
"Mar 31, 1983",8e893f269d5696b2,"5' 8""",0,3,12,Tyler Toner,"70""",2.13,0.62,2.95,0.52,Orthodox,0.4,0.0,0.54,0.0,145 lbs.
"Mar 04, 1987",c4af2feb4b58bc3b,"5' 11""",1,6,12,Kazuki Tokudome,"73""",3.63,0.53,2.26,0.41,Southpaw,0.0,2.0,0.78,0.38,155 lbs.
"Feb 17, 1990",679ae8c4fd022c6b,"5' 10""",0,2,25,Anatoly Tokov,--,0.54,0.66,3.51,0.72,,0.0,2.03,1.0,1.0,185 lbs.
"Aug 22, 1977",2d5fbe2103f97053,"5' 7""",1,25,30,Hideo Tokoro,--,2.01,0.65,1.78,0.37,Orthodox,2.3,0.87,0.44,0.34,135 lbs.
"May 19, 1994",866fd7b1a6c90e7f,"6' 1""",0,0,8,Dusko Todorovic,"74""",7.27,0.38,6.8,0.71,Orthodox,0.0,0.0,0.0,0.0,185 lbs.
"Nov 30, 1987",274ca7b799b402cc,"6' 0""",0,0,8,Andrew Todhunter,"72""",0.0,0.0,0.0,0.0,Switch,0.0,0.0,0.0,0.0,185 lbs.
--,57481f1f10530c61,--,0,3,3,Ryan Tobar,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,155 lbs.
--,7b461ccae8270207,--,0,0,0,Brett Tillis,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,145 lbs.
"Dec 24, 1992",9ce6d5a03af801b7,"6' 0""",1,2,18,Darren Till,"74""",3.03,0.59,2.41,0.46,Southpaw,0.0,0.66,0.82,0.41,185 lbs.
"May 17, 1988",9eb069062a0cfc13,"5' 6""",0,3,4,Nolan Ticman,"69""",2.53,0.67,2.57,0.47,Orthodox,0.0,0.0,0.6,0.0,125 lbs.
"Feb 01, 1982",1d1b85389a05df69,"5' 9""",0,5,7,Chris Tickle,--,1.13,0.43,1.07,0.4,,2.0,1.0,0.2,0.25,155 lbs.
"Oct 07, 1983",75e5fec9f72910ef,"5' 10""",0,14,40,Gleison Tibau,"71""",2.51,0.63,1.95,0.31,Southpaw,0.8,4.08,0.92,0.53,155 lbs.
"May 24, 1984",083e15da67d9b0fa,"6' 0""",0,5,7,Josh Thornburg,--,3.13,0.38,1.2,0.5,,2.0,2.0,0.42,0.66,170 lbs.
"Mar 14, 1984",fea8acf9bfcf09ec,"6' 1""",1,4,17,Simeon Thoresen,"79""",3.85,0.64,3.85,0.43,Orthodox,1.7,1.12,0.5,0.4,170 lbs.
"Sep 21, 1978",a566371ba2ad7152,"5' 10""",0,8,21,Josh Thomson,"71""",2.12,0.64,2.59,0.47,Orthodox,1.3,1.92,0.54,0.39,155 lbs.
"Feb 11, 1983",4a28cb716c19157a,"6' 0""",1,4,15,Stephen Thompson,"75""",2.73,0.59,3.93,0.44,Orthodox,0.0,0.36,0.78,0.45,170 lbs.
"Jan 02, 1980",dcdd511ff757f15c,"6' 1""",0,4,9,Oli Thompson,"75""",5.31,0.46,1.66,0.46,Orthodox,0.5,0.0,0.5,0.0,242 lbs.
"Dec 16, 1978",9e30f69cc0869301,"6' 5""",0,14,16,James Thompson,--,3.19,0.41,5.13,0.52,Orthodox,1.3,3.14,0.53,0.36,265 lbs.
"Jun 23, 1981",7d3caf0f96f1b33d,"6' 1""",1,14,38,Nick Thompson,"74""",1.8,0.49,1.87,0.42,Orthodox,2.6,1.06,0.35,1.0,170 lbs.
--,ed5f04f833459877,"5' 8""",0,6,10,Treston Thomison,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,145 lbs.
--,2b33e57c4d0a4502,"5' 10""",0,1,5,Joel Thomas,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,170 lbs.
"Mar 27, 1981",319c15b8aac5bfde,"5' 9""",0,7,14,Noah Thomas,--,4.99,0.33,0.44,0.13,Orthodox,1.3,0.0,0.0,0.0,135 lbs.
"Nov 05, 1984",b732b326c362fb62,"6' 0""",0,7,12,Ryan Thomas,--,4.17,0.3,2.01,0.36,Orthodox,2.2,5.59,0.0,0.33,170 lbs.
"Sep 28, 1976",40a604761ca7d64d,"5' 9""",0,8,25,Din Thomas,--,2.6,0.59,1.85,0.37,Orthodox,1.2,1.38,0.76,0.52,155 lbs.
"Jan 25, 1981",30a09e43f15f1d75,"5' 11""",0,8,15,Paulo Thiago,"73""",1.99,0.63,1.71,0.39,Orthodox,1.2,1.42,0.63,0.31,170 lbs.
--,ca936c67687789e9,--,0,2,6,Nik Theotikos,--,5.48,0.19,0.0,0.0,Orthodox,4.8,0.0,0.0,0.0,185 lbs.
"May 31, 1988",34f88592c0ab7a54,"6' 1""",0,3,17,Elias Theodorou,"75""",2.39,0.53,4.19,0.42,Orthodox,0.0,1.27,0.59,0.28,185 lbs.
"Jul 11, 1985",638cfec7ec559d6e,"6' 2""",0,5,11,Brandon Thatch,"74""",3.63,0.52,2.7,0.42,Switch,0.7,1.36,0.5,0.66,170 lbs.
"Aug 18, 1975",f0264252e191da22,"5' 10""",0,1,0,Jason Thacker,--,17.05,0.32,0.63,0.33,Orthodox,0.0,0.0,0.0,0.0,185 lbs.
"Aug 29, 1987",d34636a85f0f4c90,"5' 7""",4,6,19,Motonobu Tezuka,"66""",2.8,0.51,0.87,0.23,Southpaw,0.5,1.5,0.0,0.11,135 lbs.
"Feb 03, 1988",fbf0537e420e698e,"5' 5""",0,3,7,Daniel Teymur,"69""",3.89,0.57,3.32,0.46,Orthodox,0.0,0.61,0.58,0.18,145 lbs.
"May 01, 1989",2747c60e42d9d75f,"5' 9""",0,2,8,David Teymur,"73""",3.53,0.55,4.69,0.43,Southpaw,0.0,0.94,0.77,0.33,155 lbs.
--,60f86c449cd31e23,"6' 2""",0,3,2,Jeff Terry,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,205 lbs.
"Mar 16, 1981",5befa793316d3469,"5' 10""",0,8,16,James Terry,--,4.77,0.64,3.23,0.32,Orthodox,0.0,3.31,0.75,0.36,170 lbs.
"Jan 09, 1978",4123fd4dcc1fe937,"6' 1""",0,2,6,David Terrell,--,2.71,0.37,2.34,0.63,Southpaw,5.5,5.54,0.0,0.5,185 lbs.
"May 10, 1978",b9aa0024f295609e,"5' 8""",0,6,7,Dave Terrel,--,5.71,0.48,5.58,0.44,Southpaw,0.0,0.0,1.0,0.0,170 lbs.
--,61d6368013f8637f,--,1,2,8,Herman Terrado,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,170 lbs.
"Feb 07, 1965",1dab0d1d81dd06db,"6' 2""",1,5,7,Tra Telligman,--,3.02,0.56,1.83,0.35,Orthodox,0.0,0.87,0.8,1.0,233 lbs.
"Feb 13, 1982",de9e331b3e6bae70,"6' 1""",0,1,3,Ewerton Teixeira,--,3.22,0.35,2.0,0.39,,0.0,0.0,0.33,0.0,242 lbs.
"Nov 18, 1986",86061eaba822bfea,"5' 7""",1,1,14,John Teixeira,--,3.2,0.63,3.36,0.35,Orthodox,0.7,1.0,0.71,0.27,145 lbs.
"Oct 28, 1979",7ff97850e8c32bda,"6' 2""",0,7,30,Glover Teixeira,"76""",3.84,0.54,3.41,0.44,Orthodox,1.0,2.0,0.6,0.38,205 lbs.
"Feb 13, 1992",5bb70ebd65075c5c,"6' 5""",0,1,5,Shawn Teed,"79""",13.31,0.21,1.4,0.42,Orthodox,0.0,0.0,0.0,0.0,265 lbs.
"Sep 29, 1981",f5431394fb284bb9,"6' 2""",0,9,18,James Te Huna,"75""",2.99,0.62,4.04,0.51,Orthodox,0.2,2.75,0.58,0.37,185 lbs.
--,17c6e35e4da505b0,"5' 10""",0,7,7,J.T Taylor,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,--
"Oct 25, 1989",b76c6268dc1d3c05,"5' 0""",0,4,9,Danielle Taylor,"60""",3.31,0.71,2.75,0.29,Orthodox,0.2,0.2,0.7,0.2,115 lbs.
--,637a4d8825464c62,"5' 7""",0,3,1,Anthony Taylor,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,145 lbs.
"May 12, 1979",49bddfee9ed54cf3,"5' 11""",0,3,11,Louis Taylor,"74""",1.24,0.68,2.06,0.32,Orthodox,0.0,2.48,1.0,0.28,185 lbs.
--,88e53ec16b801740,"5' 7""",1,7,10,Torrance Taylor,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,155 lbs.
"Jan 02, 1983",dd992d569aaebee6,"6' 0""",0,15,33,Jesse Taylor,"73""",0.55,0.38,1.94,0.65,Orthodox,3.1,7.28,1.0,0.5,170 lbs.
"Dec 15, 1979",9b74de674c355425,"6' 0""",1,6,11,Paul Taylor,"72""",4.47,0.55,4.44,0.47,Orthodox,0.5,0.27,0.56,0.25,155 lbs.
"Dec 21, 1987",0c6d9ea8306c029e,"6' 1""",0,7,17,Brad Tavares,"74""",2.76,0.55,3.0,0.4,Orthodox,0.0,1.03,0.77,0.27,185 lbs.
--,681d07e328798ec0,--,0,5,1,Jeremy Tavares,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,135 lbs.
"Nov 08, 1984",8a59d346dc976a10,"5' 7""",1,7,24,Thiago Tavares,"68""",2.31,0.62,2.0,0.4,Orthodox,1.5,3.83,0.62,0.42,145 lbs.
"Aug 28, 1977",ef927e4fe2117ab8,"5' 9""",0,5,13,Deividas Taurosevicius,"68""",1.82,0.59,2.13,0.43,Southpaw,0.3,2.0,0.5,0.28,145 lbs.
"Aug 18, 1986",b96619b3acd7d9da,"5' 6""",0,7,18,Miesha Tate,"65""",2.71,0.5,1.93,0.41,Orthodox,1.6,2.06,0.52,0.31,135 lbs.
--,37ac9e0f4fc86171,"5' 7""",0,2,6,Gary Tapusoa,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,185 lbs.
"Mar 14, 1981",0eec866a077889f0,"5' 5""",1,4,11,Manny Tapia,"67""",4.74,0.58,2.69,0.21,Orthodox,0.2,0.49,0.66,0.4,135 lbs.
"Feb 11, 1971",8f2d9ee27f206f1f,"6' 0""",0,8,32,Evan Tanner,"74""",2.64,0.56,3.05,0.59,Orthodox,1.3,2.55,0.25,0.43,185 lbs.
"Oct 04, 1990",64788ee44b062ded,"5' 5""",0,3,11,Michinori Tanaka,"67""",1.99,0.5,1.97,0.37,Orthodox,0.2,2.4,0.43,0.38,135 lbs.
--,1bf49bf829964144,--,0,2,2,Akihito Tanaka,--,2.05,0.38,0.19,0.5,Southpaw,0.0,5.59,0.0,0.66,--
"Dec 17, 1981",ad3041e61896b975,"5' 10""",0,3,5,Jason Tan,--,7.37,0.18,0.69,0.29,Orthodox,0.0,0.0,0.0,0.0,170 lbs.
"Mar 12, 1984",57bf89d42364d39e,"5' 5""",0,4,7,Issei Tamura,"63""",4.58,0.44,1.89,0.53,Orthodox,0.0,0.92,0.33,0.25,135 lbs.
"May 31, 1980",c95fbc085e17a532,"5' 9""",2,11,16,Akitoshi Tamura,"70""",1.94,0.78,3.73,0.43,Orthodox,1.0,0.0,0.2,0.0,135 lbs.
"Dec 17, 1969",30e8b4505f5ccf92,"5' 11""",3,13,32,Kiyoshi Tamura,--,1.44,0.6,2.44,0.53,Southpaw,0.2,0.58,0.45,0.6,185 lbs.
"Aug 22, 1985",bfd4d50591033a1f,"5' 7""",0,0,10,Eli Tamez,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,135 lbs.
--,eaa0a728cc91ef60,"6' 0""",0,3,0,Tsuyoshi Tamakairiki,--,26.67,0.5,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,220 lbs.
